index,Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked,Location 1
85,1996,New Jersey,17.8%,4.9%,24.7%,52.6%,"New Jersey
(40.13056999960594, -74.2736899996936)"
86,1997,Texas,16.2%,6.3%,20.3%,57.1%,"Texas
(31.82724000022597, -99.42676999973554)"
87,1998,Arkansas,22.2%,3.7%,24.2%,49.9%,"Arkansas
(34.748649999697875, -92.27448999971358)"
88,2002,Washington,16.4%,5%,28.5%,50.1%,"Washington
(47.522280000022135, -120.47001000026114)"
89,2002,Alaska,21.9%,7.4%,25.6%,45%,"Alaska
(64.84507999974238, -147.72205999986895)"
90,2009,Mississippi,17.1%,6.3%,22.1%,54.6%,"Mississippi
(32.7455100000866, -89.53803000008429)"
91,2000,California,12.1%,5.1%,26%,56.7%,"California
(37.638300000444815, -120.99958999997835)"
92,2004,Michigan,17.2%,6.1%,25.2%,51.6%,"Michigan
(44.661320000317914, -84.71438999959867)"
93,2010,Massachusetts,10.2%,3.9%,29.3%,56.6%,"Massachusetts
(42.27687000005062, -72.08269000004333)"
94,2001,Colorado,15.4%,6.9%,26%,51.7%,"Colorado
(38.842890000173554, -106.13314000041055)"
95,2007,North Dakota,15.1%,5.9%,25.3%,53.8%,"North Dakota
(47.475320000018144, -100.11841999998285)"
96,2008,Missouri,20.2%,4.8%,25%,50.1%,"Missouri
(38.63578999960896, -92.5663000000448)"
97,2000,Kansas,16.9%,4.2%,23.6%,55.4%,"Kansas
(38.34774000000118, -98.20077999969709)"
98,2000,Tennessee,21.6%,4%,22.2%,52.1%,"Tennessee
(35.68094000038087, -85.77449000011325)"
99,2001,Arkansas,20.1%,5.4%,23.6%,50.8%,"Arkansas
(34.748649999697875, -92.27448999971358)"
100,2005,New Mexico,14.6%,6.9%,24.4%,54.1%,"New Mexico
(34.52088000011207, -106.24057999976702)"
101,2009,Georgia,12.6%,5.1%,22%,60.3%,"Georgia
(32.83967999993223, -83.62758000031658)"
102,2002,Arizona,17.8%,5.6%,24.4%,52.2%,"Arizona
(34.86596999961597, -111.76380999973156)"
103,1995,Kansas,18.6%,3%,24.3%,54.1%,"Kansas
(38.34774000000118, -98.20077999969709)"
104,2001,Washington,16.4%,6%,27.6%,49.9%,"Washington
(47.522280000022135, -120.47001000026114)"
105,2001,Illinois,17.4%,6.3%,23.7%,52.5%,"Illinois
(40.485010000411364, -88.99770999971656)"
106,2001,Missouri,20%,5.9%,24.5%,49.6%,"Missouri
(38.63578999960896, -92.5663000000448)"
107,2009,Oklahoma,18.8%,6.7%,24.5%,50%,"Oklahoma
(35.4720099999617, -97.52034999975251)"
108,2010,Arkansas,17.3%,5.6%,24.1%,53%,"Arkansas
(34.748649999697875, -92.27448999971358)"
109,1997,Pennsylvania,20%,4.2%,22.7%,53.1%,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
110,2004,Arizona,13.5%,5.1%,24.5%,57%,"Arizona
(34.86596999961597, -111.76380999973156)"
111,2003,Ohio,19.5%,5.7%,23.8%,51%,"Ohio
(40.06020999969189, -82.40426000019869)"
112,1999,Massachusetts,15.2%,4.1%,25.8%,55%,"Massachusetts
(42.27687000005062, -72.08269000004333)"
113,2007,Iowa,14.5%,5.3%,23.5%,56.7%,"Iowa
(42.469390000048634, -93.81649000001335)"
114,2001,Wyoming,17.3%,4.9%,26%,51.9%,"Wyoming
(43.23553999957147, -108.10982999975454)"
115,2004,Alaska,16.4%,8.5%,24%,51.2%,"Alaska
(64.84507999974238, -147.72205999986895)"
116,2001,New York,16.6%,6.6%,23.8%,53%,"New York
(42.82699999955048, -75.54396999981549)"
117,2009,New Mexico,11.2%,6.7%,25.8%,56.2%,"New Mexico
(34.52088000011207, -106.24057999976702)"
118,1995,Rhode Island,21.3%,3.5%,29.2%,46%,"Rhode Island
(41.70828000002217, -71.5224700001902)"
119,2007,Georgia,14.7%,4.7%,22.7%,57.9%,"Georgia
(32.83967999993223, -83.62758000031658)"
120,2003,Virginia,17.2%,4.8%,24%,54%,"Virginia
(37.54268000028196, -78.45789000012326)"
121,2007,West Virginia,21.7%,5.2%,24.5%,48.6%,"West Virginia
(38.66550999958696, -80.71263999973604)"
122,2005,Michigan,16.7%,5.4%,26%,52%,"Michigan
(44.661320000317914, -84.71438999959867)"
123,1999,Texas,15%,7.5%,23.3%,54.3%,"Texas
(31.82724000022597, -99.42676999973554)"
124,1997,Alaska,22.3%,4.2%,24.7%,48.8%,"Alaska
(64.84507999974238, -147.72205999986895)"
125,2009,Louisiana,16.4%,5.7%,23.2%,54.7%,"Louisiana
(31.31265999975932, -92.44567999993188)"
126,2007,New York,12.8%,6.1%,25.5%,55.6%,"New York
(42.82699999955048, -75.54396999981549)"
127,2005,Indiana,20.8%,6.4%,22.9%,49.8%,"Indiana
(39.76690999989677, -86.14996000035359)"
128,2010,New Jersey,10.2%,4.2%,26.1%,59.4%,"New Jersey
(40.13056999960594, -74.2736899996936)"
129,1995,Delaware,23%,2.3%,25.8%,48.9%,"Delaware
(39.00883000020451, -75.57774000040052)"
130,2000,Michigan,19.1%,5%,25.4%,50.4%,"Michigan
(44.661320000317914, -84.71438999959867)"
131,1996,Minnesota,15.6%,5%,23.1%,56.3%,"Minnesota
(46.3556499998478, -94.79419999982997)"
132,2004,Iowa,16.3%,4.6%,21.4%,57.8%,"Iowa
(42.469390000048634, -93.81649000001335)"
133,2000,Kentucky,26.8%,3.7%,23%,46.5%,"Kentucky
(37.645969999815804, -84.77496999996538)"
134,1996,Oregon,19.1%,4.3%,27.7%,48.9%,"Oregon
(44.567449999917756, -120.15502999983448)"
135,1995,Alaska,22.3%,2.6%,27.2%,47.9%,"Alaska
(64.84507999974238, -147.72205999986895)"
136,2007,Pennsylvania,15.1%,5.8%,23.9%,55.1%,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
137,2005,South Carolina,17%,5.5%,24.4%,53.1%,"South Carolina
(33.99855000018255, -81.0452500001872)"
138,1999,Vermont,16.9%,4.8%,26.7%,51.6%,"Vermont
(43.625379999687425, -72.51764000028561)"
139,1999,New Mexico,16.4%,6%,24.6%,52.9%,"New Mexico
(34.52088000011207, -106.24057999976702)"
140,2004,Indiana,19.5%,5.3%,22.6%,52.5%,"Indiana
(39.76690999989677, -86.14996000035359)"
141,2009,Nebraska,12.9%,3.8%,24.6%,58.7%,"Nebraska
(41.6410400000961, -99.36572999973953)"
142,2005,Georgia,16.4%,5.8%,21.9%,56%,"Georgia
(32.83967999993223, -83.62758000031658)"
143,2000,Louisiana,18.6%,5.5%,19.5%,56.5%,"Louisiana
(31.31265999975932, -92.44567999993188)"
144,1995,Wisconsin,18.2%,3.5%,27.6%,50.7%,"Wisconsin
(44.39319000021851, -89.81636999977553)"
145,2007,Hawaii,12.9%,4.1%,26%,57%,"Hawaii
(21.304850000427336, -157.85774999956269)"
146,2010,New York,10.5%,5%,26.8%,57.8%,"New York
(42.82699999955048, -75.54396999981549)"
147,1997,New Mexico,15.5%,6.5%,25.3%,52.6%,"New Mexico
(34.52088000011207, -106.24057999976702)"
148,2004,Florida,14.6%,5.7%,25.8%,53.9%,"Florida
(28.932039999846268, -81.9289599999039)"
149,1996,Maryland,17.9%,3%,23.4%,55.7%,"Maryland
(39.29057999976732, -76.6092600004485)"
150,2007,Missouri,19.8%,4.7%,23.4%,52.1%,"Missouri
(38.63578999960896, -92.5663000000448)"
151,2010,Arizona,10.7%,4.4%,27.9%,57.1%,"Arizona
(34.86596999961597, -111.76380999973156)"
152,1998,Pennsylvania,19.4%,4.4%,22.9%,53.3%,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
153,1998,Texas,15.6%,6.3%,22.6%,55.5%,"Texas
(31.82724000022597, -99.42676999973554)"
154,1999,Wisconsin,17.9%,5.8%,28.6%,47.7%,"Wisconsin
(44.39319000021851, -89.81636999977553)"
155,1999,Montana,16%,4.2%,27.7%,52.1%,"Montana
(47.06653000015956, -109.42441999998289)"
156,2006,Minnesota,13.8%,4.5%,27.6%,54.1%,"Minnesota
(46.3556499998478, -94.79419999982997)"
157,1995,Missouri,21.9%,2.2%,27.1%,48.8%,"Missouri
(38.63578999960896, -92.5663000000448)"
158,2009,Tennessee,17.6%,4.4%,24.7%,53.3%,"Tennessee
(35.68094000038087, -85.77449000011325)"
159,1998,Maryland,16.7%,5.7%,24.2%,53.4%,"Maryland
(39.29057999976732, -76.6092600004485)"
160,2001,Utah,9.1%,4.1%,17.1%,69.7%,"Utah
(39.36070000030492, -111.58712999994941)"
161,2002,South Carolina,21%,5.6%,22.6%,50.9%,"South Carolina
(33.99855000018255, -81.0452500001872)"
162,2005,Maine,15.9%,4.9%,30.1%,49.1%,"Maine
(45.25423000041434, -68.9850299999344)"
163,1997,Georgia,17.6%,4.8%,15.3%,62.3%,"Georgia
(32.83967999993223, -83.62758000031658)"
164,2005,New York,14.6%,5.9%,25.6%,54%,"New York
(42.82699999955048, -75.54396999981549)"
165,2004,Massachusetts,13.7%,4.8%,26.9%,54.6%,"Massachusetts
(42.27687000005062, -72.08269000004333)"
166,2010,Vermont,11.1%,4.2%,30.7%,54%,"Vermont
(43.625379999687425, -72.51764000028561)"
167,2008,North Carolina,15.5%,5.4%,24.8%,54.3%,"North Carolina
(35.46624999963797, -79.1593199999179)"
168,2008,Alabama,17.3%,4.9%,21.9%,56%,"Alabama
(32.840569999605975, -86.63186000013877)"
169,2006,North Dakota,15.6%,3.9%,24.1%,56.4%,"North Dakota
(47.475320000018144, -100.11841999998285)"
170,2008,Mississippi,17.2%,5.5%,22.2%,55.1%,"Mississippi
(32.7455100000866, -89.53803000008429)"
171,2008,Utah,6.8%,2.5%,16.1%,74.5%,"Utah
(39.36070000030492, -111.58712999994941)"
172,2009,New Jersey,10%,5.8%,25.4%,58.8%,"New Jersey
(40.13056999960594, -74.2736899996936)"
173,2006,Hawaii,13%,4.6%,25.1%,57.3%,"Hawaii
(21.304850000427336, -157.85774999956269)"
174,2009,Kansas,13.2%,4.6%,23.3%,58.8%,"Kansas
(38.34774000000118, -98.20077999969709)"
175,2007,Colorado,13.4%,5.3%,24.6%,56.7%,"Colorado
(38.842890000173554, -106.13314000041055)"
176,1998,Georgia,19.7%,3.9%,21.9%,54.5%,"Georgia
(32.83967999993223, -83.62758000031658)"
177,2009,Michigan,13.7%,5.9%,25.5%,54.9%,"Michigan
(44.661320000317914, -84.71438999959867)"
178,2004,Delaware,18.8%,5.6%,25.2%,50.5%,"Delaware
(39.00883000020451, -75.57774000040052)"
179,1999,Nebraska,18.2%,5%,22.1%,54.7%,"Nebraska
(41.6410400000961, -99.36572999973953)"
180,2008,Oklahoma,18.5%,6.2%,24.7%,50.6%,"Oklahoma
(35.4720099999617, -97.52034999975251)"
181,2005,Delaware,15.5%,5.2%,27.2%,52.1%,"Delaware
(39.00883000020451, -75.57774000040052)"
182,2008,South Dakota,12%,5.6%,26.1%,56.4%,"South Dakota
(44.353130000049646, -100.37353000040906)"
183,1995,South Carolina,20.9%,2.5%,20.4%,56.1%,"South Carolina
(33.99855000018255, -81.0452500001872)"
184,1998,Massachusetts,16.6%,4.3%,28%,51.1%,"Massachusetts
(42.27687000005062, -72.08269000004333)"
185,1998,Michigan,22.6%,4.8%,25.4%,47.2%,"Michigan
(44.661320000317914, -84.71438999959867)"
186,2010,Alabama,15.6%,6.3%,23.9%,54.2%,"Alabama
(32.840569999605975, -86.63186000013877)"
187,2003,Missouri,23.1%,4.1%,24.3%,48.5%,"Missouri
(38.63578999960896, -92.5663000000448)"
188,2002,Tennessee,22.9%,4.9%,18.7%,53.6%,"Tennessee
(35.68094000038087, -85.77449000011325)"
189,2007,Indiana,18.2%,5.9%,22.8%,53%,"Indiana
(39.76690999989677, -86.14996000035359)"
190,2007,Tennessee,20%,4.3%,24%,51.8%,"Tennessee
(35.68094000038087, -85.77449000011325)"
191,2007,Louisiana,16.9%,5.7%,20.2%,57.1%,"Louisiana
(31.31265999975932, -92.44567999993188)"
192,2007,New Jersey,12%,5.1%,24.7%,58.2%,"New Jersey
(40.13056999960594, -74.2736899996936)"
193,1997,New Hampshire,20%,4.7%,31.3%,44%,"New Hampshire
(43.65595000019255, -71.50036000041354)"
194,2002,Vermont,16.7%,4.4%,32.3%,46.5%,"Vermont
(43.625379999687425, -72.51764000028561)"
195,2009,Rhode Island,10.2%,4.9%,29.6%,55.4%,"Rhode Island
(41.70828000002217, -71.5224700001902)"
196,1996,Florida,18.1%,3.7%,30.7%,47.5%,"Florida
(28.932039999846268, -81.9289599999039)"
197,1997,Louisiana,19.2%,5.3%,21.9%,53.6%,"Louisiana
(31.31265999975932, -92.44567999993188)"
198,2009,Iowa,13.4%,3.8%,24.2%,58.7%,"Iowa
(42.469390000048634, -93.81649000001335)"
199,2004,Montana,15.8%,4.6%,25.1%,54.5%,"Montana
(47.06653000015956, -109.42441999998289)"
200,1995,Connecticut,18.6%,2%,28.8%,50.7%,"Connecticut
(41.56265999995918, -72.6498400002157)"
201,2001,New Mexico,16.1%,7.7%,24.9%,51.2%,"New Mexico
(34.52088000011207, -106.24057999976702)"
202,2003,West Virginia,22.6%,4.8%,25.8%,46.9%,"West Virginia
(38.66550999958696, -80.71263999973604)"
203,2010,Idaho,11.3%,4.4%,22.9%,61.5%,"Idaho
(43.682590000228515, -114.36368000023168)"
204,2009,Texas,11.7%,6.2%,21.6%,60.5%,"Texas
(31.82724000022597, -99.42676999973554)"
205,2008,Arizona,10.7%,5.2%,27.4%,56.7%,"Arizona
(34.86596999961597, -111.76380999973156)"
206,2000,Delaware,18.6%,4.2%,23.9%,53.2%,"Delaware
(39.00883000020451, -75.57774000040052)"
207,2009,Washington,10.7%,4.2%,26.7%,58.4%,"Washington
(47.522280000022135, -120.47001000026114)"
208,2007,Maine,16.2%,4%,30.8%,49.1%,"Maine
(45.25423000041434, -68.9850299999344)"
209,2008,Connecticut,11.6%,4.3%,30.1%,54%,"Connecticut
(41.56265999995918, -72.6498400002157)"
210,2005,Vermont,14.4%,4.9%,30.8%,50%,"Vermont
(43.625379999687425, -72.51764000028561)"
211,2006,New Hampshire,14.3%,4.4%,29.7%,51.6%,"New Hampshire
(43.65595000019255, -71.50036000041354)"
212,2002,Arkansas,21.5%,4.8%,24.9%,48.8%,"Arkansas
(34.748649999697875, -92.27448999971358)"
213,2005,Tennessee,20.4%,6.3%,22%,51.3%,"Tennessee
(35.68094000038087, -85.77449000011325)"
214,2005,West Virginia,21.3%,5.4%,24.3%,49%,"West Virginia
(38.66550999958696, -80.71263999973604)"
215,2004,Tennessee,21.5%,4.6%,22.2%,51.7%,"Tennessee
(35.68094000038087, -85.77449000011325)"
216,2000,Texas,15.4%,6.5%,21.9%,56.2%,"Texas
(31.82724000022597, -99.42676999973554)"
217,2008,Tennessee,18%,5.1%,21.8%,55%,"Tennessee
(35.68094000038087, -85.77449000011325)"
218,2006,South Carolina,16.5%,5.8%,24.5%,53.3%,"South Carolina
(33.99855000018255, -81.0452500001872)"
219,2000,Iowa,18.3%,4.9%,23.1%,53.7%,"Iowa
(42.469390000048634, -93.81649000001335)"
220,2006,Pennsylvania,16.6%,4.9%,25.5%,53%,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
221,2005,Missouri,18.5%,4.9%,24.2%,52.4%,"Missouri
(38.63578999960896, -92.5663000000448)"
222,2009,Utah,6.9%,2.9%,15.1%,75.1%,"Utah
(39.36070000030492, -111.58712999994941)"
223,1999,Colorado,17.5%,4.9%,25.8%,51.7%,"Colorado
(38.842890000173554, -106.13314000041055)"
224,1999,New York,17%,4.8%,23.1%,55.1%,"New York
(42.82699999955048, -75.54396999981549)"
225,1997,Rhode Island,19.7%,4.6%,26.7%,49%,"Rhode Island
(41.70828000002217, -71.5224700001902)"
226,2004,Kentucky,23%,4.5%,20.4%,52.1%,"Kentucky
(37.645969999815804, -84.77496999996538)"
227,2000,Pennsylvania,19.3%,5.1%,24.5%,51.1%,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
228,2006,Alaska,16.2%,7.7%,27.6%,48.5%,"Alaska
(64.84507999974238, -147.72205999986895)"
229,2010,Wisconsin,13.6%,5.5%,26.3%,54.6%,"Wisconsin
(44.39319000021851, -89.81636999977553)"
230,1995,Ohio,23.6%,2.2%,24%,50.2%,"Ohio
(40.06020999969189, -82.40426000019869)"
231,2006,Texas,12.6%,5.3%,21.7%,60.4%,"Texas
(31.82724000022597, -99.42676999973554)"
232,2005,Rhode Island,15.3%,4.4%,28.8%,51.4%,"Rhode Island
(41.70828000002217, -71.5224700001902)"
233,1997,New York,19.1%,4%,23.7%,53.2%,"New York
(42.82699999955048, -75.54396999981549)"
234,2000,Maine,20.7%,3.1%,29.9%,46.3%,"Maine
(45.25423000041434, -68.9850299999344)"
235,2004,Maryland,14.6%,5%,23%,57.5%,"Maryland
(39.29057999976732, -76.6092600004485)"
236,2003,California,11.3%,5.5%,25.2%,58%,"California
(37.638300000444815, -120.99958999997835)"
237,2000,South Carolina,18.8%,6.2%,21.9%,53.2%,"South Carolina
(33.99855000018255, -81.0452500001872)"
238,1997,Colorado,17%,5.5%,25.5%,51.9%,"Colorado
(38.842890000173554, -106.13314000041055)"
239,2010,Virginia,14.5%,4%,24.4%,57%,"Virginia
(37.54268000028196, -78.45789000012326)"
240,2005,Connecticut,12.4%,4.1%,29.4%,54.1%,"Connecticut
(41.56265999995918, -72.6498400002157)"
241,2004,District of Columbia,12.5%,8.4%,19.2%,59.9%,"District of Columbia
(38.89036999987576, -77.03195999965413)"
242,1996,Connecticut,17.4%,4.4%,28.2%,50%,"Connecticut
(41.56265999995918, -72.6498400002157)"
243,1996,Alaska,21.7%,6%,26%,46.3%,"Alaska
(64.84507999974238, -147.72205999986895)"
244,2010,Michigan,13.5%,5.4%,25.3%,55.7%,"Michigan
(44.661320000317914, -84.71438999959867)"
245,1999,Maryland,15.5%,4.8%,24.2%,55.5%,"Maryland
(39.29057999976732, -76.6092600004485)"
246,1995,Nevada,23.3%,2.5%,26.8%,47.4%,"Nevada
(39.49323999972637, -117.07183999971608)"
247,2003,Utah,8.6%,3.3%,16.6%,71.5%,"Utah
(39.36070000030492, -111.58712999994941)"
248,2005,Nevada,16.6%,6.5%,24%,52.9%,"Nevada
(39.49323999972637, -117.07183999971608)"
249,2006,Virginia,14.7%,4.6%,25.2%,55.5%,"Virginia
(37.54268000028196, -78.45789000012326)"
250,2005,North Carolina,17.1%,5.5%,23.6%,53.8%,"North Carolina
(35.46624999963797, -79.1593199999179)"
251,2008,Texas,11.7%,6.8%,21.5%,60%,"Texas
(31.82724000022597, -99.42676999973554)"
252,2003,Indiana,21.1%,5%,24.4%,49.5%,"Indiana
(39.76690999989677, -86.14996000035359)"
253,1997,Wyoming,19.5%,4.5%,25.4%,50.6%,"Wyoming
(43.23553999957147, -108.10982999975454)"
254,2001,Maryland,15.3%,5.8%,24.7%,54.2%,"Maryland
(39.29057999976732, -76.6092600004485)"
255,1998,Florida,18%,4%,26.1%,51.9%,"Florida
(28.932039999846268, -81.9289599999039)"
256,2008,Alaska,15.1%,6.4%,28.4%,50%,"Alaska
(64.84507999974238, -147.72205999986895)"
